x_axis_emp_AHI,a_RLH2_habit_weight,b_RLH2_alpha_action,c_RLH2_alpha_P,d_RLH2_alpha_N,e_RLH2_posbias
3.58,3.1259436590235654e-6,0.6895144929381876,0.9999929417721132,0.02581146229633411,0.974181479475779
3.58,0.8837190530890839,0.2790989277495213,2.7874807808972876e-10,0.14226539232752317,-0.14226539204877509
2.38,0.575106510287823,0.22278569419934496,0.2387987395477276,0.5739379490982051,-0.3351392095504775
2.79,0.5247270427999775,0.07314477687604613,0.00348051420567005,0.00585877129452885,-0.0023782570888587996
1.54,0.999958310750694,0.07401085198393187,5.215503017651759e-5,0.4191428427447916,-0.41909068771461505
3.54,0.8847226351847137,0.9789568734092444,1.869284963678348e-5,0.2814643670845388,-0.281445674234902
2.75,0.7366247842780371,0.10455546541379045,0.5527320291861134,0.4010850675191998,0.1516469616669136
2.5,0.9998871358995328,0.16974150699967136,4.201268452129868e-5,0.04701101968503655,-0.04696900700051525
3.58,0.34390313108598103,0.6035576023794991,4.902155902027782e-6,0.00402505207820486,-0.004020149922302832
2.33,0.9999999999312962,0.03542656919435931,0.19470113311011544,0.24580571734132037,-0.051104584231204925
1.88,0.6029421702217823,0.29852621325790185,0.9999999979804164,0.6208466484332076,0.3791533495472088
2.42,0.9999706899619232,0.05384000312181304,0.21891382573922655,0.666731775931966,-0.4478179501927394
2.46,0.9994973139340642,0.05846874944066049,0.5864823709558077,0.16625625163684937,0.4202261193189583
3.79,0.9940648784874392,0.10608479750963253,3.725748586121828e-5,0.3699203224533328,-0.3698830649674716
4.42,0.9999065817356296,0.7591540419652593,1.8541145268767683e-10,0.09459157836494758,-0.09459157817953613
3,0.9999668896376734,0.17311772859612592,0.01582047113333847,0.28097791889021073,-0.2651574477568723
3.58,0.9999999995733752,0.01130214206942666,0.22556383917667083,0.0615010835411539,0.16406275563551692
3.08,0.999999999390984,0.06682958735565156,0.9275700603441852,0.0925184520005399,0.8350516083436453
3.25,0.9898989393532908,5.904032398354801e-7,0.03475870559370156,0.329346608790565,-0.29458790319686345
2.75,0.9999999999947796,0.05962981166007376,0.6126579478100866,0.49539073023549,0.11726721757459663
2.25,0.10948073045118388,0.24102884103003436,0.3262910186767267,0.08535910147674641,0.2409319171999803
3,0.9993721974246724,0.06652399688711871,0.6843472224991122,0.8324390900473875,-0.1480918675482753
3.25,0.4274969849818413,0.21348988033544505,3.4808063936863163e-9,0.01180410170183432,-0.011804098221027928
3.71,0.8000043635843865,1.4894204192038026e-8,0.9041822658099312,0.00580888422915315,0.8983733815807781
2.13,0.9207917293167076,0.9711030093097216,4.6373835508475705e-6,0.10932248945428596,-0.10931785207073512
2.88,0.03983792716323135,0.685084378219797,0.04399357598186836,0.06543483097487271,-0.021441254993004352
3.46,0.12469675495014244,0.167249808902874,0.08206056231754902,0.02518448275371873,0.056876079563830284
2.33,0.9344973008245836,0.04212949143912171,0.0086851415757084,0.17083384171496896,-0.16214870013926055
2.92,0.37187614758729487,0.32480356556784173,0.999913507333246,0.14229248355319102,0.857621023780055
3.63,0.96030733263264,0.3048021647420398,9.756058984365182e-9,0.02851301479614909,-0.028513005040090106
4.21,0.999364360457927,0.1635754365112891,0.9999504826528444,0.25703521970783827,0.7429152629450061
2.83,0.7191831530220688,0.2696536173091464,3.760315779433904e-7,0.00829209887705419,-0.008291722845476246
3.54,0.989474832786812,0.3731523776670824,0.5835141980614547,0.5811243546006708,0.002389843460783858
3.13,0.9999999720967186,5.646541609738001e-7,0.2895255388784614,0.0316138757342396,0.25791166314422176
2.29,0.9963147789023894,0.16652748350004337,0.9477711790310728,0.46317030105694,0.48460087797413276
2.71,0.7733869554052025,2.8967654291149828e-8,4.78383242333594e-4,0.06739815787255918,-0.06691977463022558
3.42,0.9992271729782692,0.01294053880470346,0.8823855583003894,0.4676049106566438,0.41478064764374567
3.29,0.6190424134997476,0.01543221259484779,1.8089929328018595e-5,0.09687008415777064,-0.09685199422844262
4.21,0.9988932599581984,0.22919420920828437,1.217118529756149e-4,0.04482762664299588,-0.044705914790020264
2.63,0.5617355143157001,0.21436383206993492,0.00298594449923787,1.2337783077959244e-6,0.002984710720930074
2.33,0.26247820702191565,0.3919872529512922,0.00253818108662735,0.02832556111866625,-0.025787380032038898
2.63,0.4025968737107659,0.26607978395600157,0.04409764996899712,0.00535033063666605,0.03874731933233107
3.96,0.9995921201377878,0.06792671613321646,0.7625383414723483,0.07854027664876881,0.6839980648235795
1.67,0.932260026898648,0.8670483112368941,2.35868985383037e-10,0.25389497966435415,-0.25389497942848516
1.92,0.992520892241634,0.08043340483664208,3.090190721738904e-5,0.12252283161317391,-0.12249192970595653
3.42,0.4699521663344388,0.4316717871800532,5.3171899268379146e-5,0.02330581611556623,-0.02325264421629785
